bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
1st Advantage Bank,Community Bank,FALSE,NA,"151,388","3,207","3,449","3,981","1,913","2,124","2,526",19,18,20,"1,010","1,055","1,170",0,0,181,0,0,0
1st Bank in Hominy,Community Bank,FALSE,NA,"44,845","1,309","1,230","1,222",705,638,602,14,11,11,466,441,467,0,0,0,0,0,0
1st Bank of Sea Isle City,Community Bank,FALSE,NA,"331,161","7,470","7,605","8,408","4,144","4,234","4,459",45,41,43,"2,719","2,766","3,187",60,105,152,0,0,0
1st Bank Yuma,Community Bank,FALSE,NA,"555,631","12,488","12,473","13,342","7,120","6,762","7,285",75,71,77,"3,863","4,257","4,587",622,575,492,0,0,0
1st Capital Bank,Community Bank,FALSE,NA,"941,795","17,528","19,989","22,126","10,836","12,288","13,459",95,93,99,"4,542","5,600","6,337",0,0,0,0,0,0
1st Colonial Community Bank,Community Bank,FALSE,NA,"781,503","15,693","19,439","18,684","9,628","12,300","12,172",78,102,97,"5,119","5,893","5,281",0,0,0,458,0,0
1st Community Bank,Community Bank,FALSE,NA,"67,449","1,889","1,840","1,849","1,184","1,168","1,175",17,17,18,444,442,435,0,0,0,0,0,0
1st Equity Bank,Community Bank,FALSE,NA,"134,612","3,121","2,922","3,253","1,611","1,901","2,013",9,10,11,"1,014",659,899,0,0,0,209,0,0
"1st Federal Savings Bank of SC, Inc.",Community Bank,FALSE,NA,"143,309","4,189","4,327","4,386","2,236","2,207","2,346",24,24,24,"1,566","1,682","1,564",160,207,322,0,0,1
1st Financial Bank USA,Community Bank,FALSE,NA,"1,094,534","90,666","100,355","94,983","35,156","36,498","38,338",287,287,291,"43,065","51,860","46,040","4,191","5,482",0,"2,684",0,"3,593"
1st National Bank,Community Bank,FALSE,NA,"277,102","14,166","14,997","12,279","7,651","9,251","7,529",90,104,78,"5,453","4,468","3,380",,,,,,
1st State Bank,Community Bank,FALSE,NA,"479,080","9,600","10,132","11,609","5,819","6,208","6,161",66,69,67,"2,877","3,256","4,417",53,146,"1,026",12,23,134
1st Summit Bank,Community Bank,FALSE,NA,"1,341,085","23,153","25,190","28,000","13,597","14,666","16,524",187,208,212,"6,105","6,701","7,265",0,0,0,0,0,0
"1st Trust Bank, Inc.",Community Bank,FALSE,NA,"247,777","6,325","6,351","6,947","3,110","3,217","3,474",49,52,52,"2,399","2,338","2,666",0,0,0,0,0,0
1st United Bank,Community Bank,FALSE,NA,"193,576","4,157","3,431","3,022","1,911","1,610","1,276",25,22,23,960,"1,410","1,509",0,0,0,1,0,0
21st Century Bank,Community Bank,FALSE,NA,"689,010","11,873","12,398","12,741","7,303","7,552","7,808",63,64,61,"2,910","3,045","3,138",224,277,431,0,0,0
22nd State Bank,Community Bank,FALSE,NA,"225,164","7,029","8,139","9,717","3,873","4,721","5,631",50,68,68,"2,490","2,562","3,172",0,0,0,0,0,0
42 North Private Bank,Community Bank,FALSE,NA,"221,472","15,429","12,765","10,251","7,764","5,935","4,939",44,27,29,"5,858","4,801","4,539",960,817,303,0,0,0
5Star Bank,Community Bank,FALSE,NA,"360,036","8,148","8,748","9,055","5,233","5,427","5,490",50,54,55,"2,102","2,428","2,735",0,0,0,0,0,0
AB&T,Community Bank,FALSE,NA,"256,601","5,496","5,311","5,287","3,292","3,130","3,010",32,31,30,"1,684","1,786","1,902",0,0,0,0,0,0
Abacus Federal Savings Bank,Community Bank,FALSE,NA,"310,557","11,061","11,771","12,019","5,814","5,854","5,603",88,82,86,"3,257","3,570","3,689",217,259,324,0,0,0
"Abbeville Building and Loan, A State Chartered Savings Bank",Community Bank,FALSE,NA,"58,961","2,985","3,084","2,981","1,538","1,653","1,574",20,22,19,"1,234","1,243","1,190",22,22,29,4,6,0
"Abbeville First Bank, SSB",Community Bank,FALSE,NA,"117,074","2,308","2,453","2,636","1,203","1,209","1,323",17,17,19,936,"1,045","1,130",148,157,168,10,1,1
AbbyBank,Community Bank,FALSE,NA,"618,334","13,588","14,322","14,051","8,338","8,587","8,981",112,119,102,"3,928","4,397","3,712",0,0,0,0,0,0
Abington Bank,Community Bank,FALSE,NA,"1,354,850","13,128","13,341","17,489","8,003","8,183","9,549",75,76,104,"3,375","3,388","4,191",0,0,0,0,0,0
ACB Bank,Community Bank,FALSE,NA,"121,579","3,023","3,054","3,205","1,706","1,797","1,836",23,23,22,"1,144",970,"1,102",138,106,107,18,63,5
Access Bank,Community Bank,FALSE,NA,"945,731","21,370","23,239","23,437","14,206","15,899","15,179",120,123,127,"5,058","5,655","5,922",217,344,601,71,5,99
Adams Bank & Trust,Community Bank,FALSE,NA,"1,285,979","30,143","34,148","37,824","18,510","21,199","22,588",208,220,226,"8,755","9,900","10,949",6,32,121,12,8,5
Adams Community Bank,Community Bank,FALSE,NA,"932,074","16,588","18,176","19,500","9,685","10,597","11,235",104,113,119,"5,214","5,758","6,244",116,91,0,0,128,0
Adams County Bank,Community Bank,FALSE,NA,"226,220","2,568","2,839","2,841","1,710","1,783","1,826",13,13,13,714,907,830,0,0,0,0,0,0
Adams State Bank,Community Bank,FALSE,NA,"67,600","1,156","1,303","1,245",746,870,788,9,9,9,217,245,272,0,0,0,0,0,0
Adirondack Bank,Community Bank,FALSE,NA,"954,358","25,338","27,168","30,351","13,179","15,128","16,745",184,180,200,"7,879","7,819","9,717",,,,,,
"ADP Trust Company, National Association",Community Bank,FALSE,NA,"29,719","5,677","6,299","6,400","2,171","2,671","2,729",9,9,9,"3,449","3,571","3,616",0,0,0,0,0,0
Adrian Bank,Community Bank,FALSE,NA,"176,205","3,536","3,545","3,675","2,287","2,388","2,363",31,30,30,"1,020",950,"1,095",0,0,22,57,41,62
Adrian State Bank,Community Bank,FALSE,NA,"63,130","1,259","1,287","1,354",800,801,815,12,11,11,264,307,361,0,0,0,0,0,0
Affinity Bank,Community Bank,FALSE,NA,"791,958","20,700","20,635","21,607","11,221","10,869","12,230",81,96,92,"6,697","6,887","6,892",490,0,0,0,0,0
"Agility Bank, National Association",Community Bank,FALSE,NA,"57,614",NA,NA,"8,017",NA,NA,"5,000",NA,NA,16,NA,NA,"2,483",,,216,,,286
AIG Federal Savings Bank,Community Bank,FALSE,NA,"41,858","1,985","2,019","1,976","1,499","1,515","1,257",10,10,9,399,408,599,0,0,0,0,0,0
Alamerica Bank,Community Bank,FALSE,NA,"15,784","1,783","1,480","1,367",689,705,535,8,8,6,829,512,561,0,0,116,380,0,0
Alamosa State Bank,Community Bank,FALSE,NA,"345,425","5,034","5,086","5,186","3,027","3,010","3,042",34,32,33,"1,534","1,629","1,724",0,0,0,0,0,0
"Albany Bank & Trust Co., National Association",Community Bank,FALSE,NA,"705,700","10,361","10,882","11,767","6,624","6,846","7,399",66,60,64,"2,296","2,431","2,798",0,0,0,0,0,0
Alden State Bank,Community Bank,FALSE,NA,"282,088","5,964","5,983","6,118","3,489","3,536","3,645",38,39,39,"1,888","1,852","1,895",0,0,0,0,0,0
Alden State Bank,Community Bank,FALSE,NA,"433,054","8,586","8,758","10,046","5,082","5,074","5,661",58,64,66,"2,953","3,030","3,556",0,0,0,0,0,0
Algonquin State Bank,Community Bank,FALSE,NA,"148,090","3,923","3,986","3,961","2,139","2,202","2,249",23,24,23,"1,254","1,256","1,299",0,0,0,0,0,0
All America Bank,Community Bank,FALSE,NA,"523,723","12,387","13,133","13,713","7,269","7,779","8,676",110,111,117,"3,271","3,235","3,209",125,160,0,0,0,0
Alliance Bank,Community Bank,FALSE,NA,"219,584","4,649","4,633","4,868","2,994","2,955","3,196",42,44,43,"1,321",838,879,,,,,,
Alliance Bank,Community Bank,FALSE,NA,"759,764","18,800","17,983","17,942","11,271","11,640","11,807",115,115,111,"5,060","4,213","4,090",4,4,11,211,10,0
Alliance Bank,Community Bank,FALSE,NA,"1,369,624","31,046","31,700","34,512","16,744","16,527","18,521",220,214,232,"7,900","8,563","9,126",636,614,417,84,0,93
Alliance Bank,Community Bank,FALSE,NA,"442,035","7,389","7,820","8,675","4,359","4,667","5,070",63,67,63,"2,411","2,502","2,898",121,106,402,0,0,0
Alliance Bank,Community Bank,FALSE,NA,"351,364","8,480","8,832","8,830","5,059","5,613","5,463",68,67,65,"2,462","2,243","2,389",0,0,0,0,0,0
Alliance Bank,Community Bank,FALSE,NA,"170,912","3,063","3,120","3,287","1,759","1,719","1,789",23,21,21,"1,048","1,135","1,230",0,0,0,0,0,0
Alliance Bank & Trust Company,Community Bank,FALSE,NA,"243,047","5,297","5,677","6,445","3,065","3,251","3,687",34,35,38,"1,845","2,058","2,202",0,0,0,0,0,0
Alliance Bank Central Texas,Community Bank,FALSE,NA,"686,274","8,803","10,386","13,222","5,057","6,095","8,161",62,67,87,"2,602","2,943","3,455",0,0,0,0,0,0
Alliance Community Bank,Community Bank,FALSE,NA,"371,460","7,414","7,861","8,591","3,896","4,115","4,592",57,63,60,"2,634","2,837","3,067",0,0,0,0,0,0
Alliant Bank,Community Bank,FALSE,NA,"199,413","6,217","6,770","7,000","3,530","3,746","4,042",49,49,58,"2,213","2,451","2,282",0,0,192,0,0,0
"Allied First Bank, SB",Community Bank,FALSE,NA,"389,337","97,781","109,695","10,092","70,121","75,927","6,656",342,388,279,"26,205","32,279","3,058",0,0,0,74,32,32
AllNations Bank,Community Bank,FALSE,NA,"51,484","1,949","1,825","1,747","1,015",986,951,12,10,10,803,727,676,43,38,21,14,13,2
Alma Bank,Community Bank,FALSE,NA,"1,363,586","30,710","31,734","35,352","19,123","19,570","21,601",156,150,162,"6,897","7,395","8,787",603,873,"1,705",0,0,0
Alpine Capital Bank,Community Bank,FALSE,NA,"263,803","5,053","3,222","4,779","2,596","2,822","2,785",19,19,19,"1,645",-272,"1,289",0,0,0,0,0,113
Altamaha Bank and Trust Company,Community Bank,FALSE,NA,"265,886","6,635","7,146","7,857","3,804","3,937","4,227",50,49,50,"1,959","2,273","2,645",0,0,0,0,0,0
Alton Bank,Community Bank,FALSE,NA,"116,885","2,140","2,577","2,820","1,290","1,375","1,541",21,22,24,602,799,798,0,0,0,0,0,0
Altoona First Savings Bank,Community Bank,FALSE,NA,"323,074","6,872","6,827","7,355","3,510","3,320","3,593",44,44,44,"2,719","2,852","3,099",249,228,163,0,0,0
Alva State Bank & Trust Company,Community Bank,FALSE,NA,"453,317","6,924","7,289","7,085","3,800","4,113","4,076",52,52,53,"2,679","2,733","2,588",533,460,457,357,190,139
Amalgamated Bank of Chicago,Community Bank,FALSE,NA,"1,103,928","38,143","36,148","32,946","20,145","18,754","17,001",176,144,153,"14,656","14,135","12,743",0,0,0,0,0,0
Ambler Savings Bank,Community Bank,FALSE,NA,"503,452","8,048","8,511","9,266","4,860","5,087","5,757",54,55,57,"2,248","2,457","2,513",0,0,0,0,0,0
Amerasia Bank,Community Bank,FALSE,NA,"778,489","12,740","12,906","14,281","8,027","8,109","9,111",80,83,80,"2,724","2,596","2,948",90,114,0,20,28,0
American Bank,Community Bank,FALSE,NA,"251,511","9,561","8,236","9,783","5,839","4,832","6,131",59,57,64,"2,883","2,470","2,636",0,0,0,36,81,0
American Bank,Community Bank,FALSE,NA,"617,677","12,922","13,991","15,565","7,803","8,394","9,445",76,88,84,"3,208","3,648","4,324",0,0,0,0,0,0
American Bank,Community Bank,FALSE,NA,"926,473","10,103","10,843","12,177","5,764","6,198","6,667",65,66,67,"3,251","3,639","4,516",,,,,0,
American Bank & Trust,Community Bank,FALSE,NA,"1,474,550","25,924","28,908","33,558","15,890","18,370","22,162",145,160,174,"6,062","7,257","8,314",0,0,0,0,0,0
American Bank & Trust Company,Community Bank,FALSE,NA,"243,791","5,506","5,637","5,903","3,356","3,380","3,420",52,51,49,"1,457","1,570","1,744",0,0,0,0,0,0
American Bank & Trust Company Inc.,Community Bank,FALSE,NA,"661,211","10,577","11,426","12,524","5,958","6,494","7,096",84,85,94,"3,386","3,353","3,874",,,,,,
American Bank and Trust Company,Community Bank,FALSE,NA,"291,720","5,229","5,857","6,316","3,515","3,832","3,984",41,40,42,"1,226","1,418","1,667",0,0,0,0,0,185
"American Bank and Trust Company, National Association",Community Bank,FALSE,NA,"501,367","15,818","14,660","13,940","9,072","8,083","7,497",94,95,92,"5,011","5,056","5,012",586,625,664,0,0,0
American Bank National Association,Community Bank,FALSE,NA,"623,090","13,460","13,900","14,207","7,715","8,094","8,001",96,86,81,"3,808","3,896","4,044",0,343,0,0,0,0
American Bank of Baxter Springs,Community Bank,FALSE,NA,"138,690","2,864","3,190","3,232","1,719","1,827","1,836",26,28,26,841,"1,051","1,114",39,20,25,25,11,12
American Bank of Beaver Dam,Community Bank,FALSE,NA,"177,426","5,031","5,400","5,528","2,692","2,992","2,996",37,38,36,"1,845","1,919","2,036",0,0,0,0,0,0
American Bank of Commerce,Community Bank,FALSE,NA,"1,521,301","33,246","33,106","34,232","21,198","20,621","19,833",198,196,174,"9,023","9,875","11,793",,,,,,
American Bank of Missouri,Community Bank,FALSE,NA,"734,676","11,259","15,119","16,925","6,856","8,603","9,777",78,98,99,"3,170","4,990","5,085",,,,306,374,447
American Bank of Oklahoma,Community Bank,FALSE,NA,"353,552","15,882","16,750","17,536","10,614","11,079","11,185",99,100,103,"4,155","4,497","5,066",71,124,266,55,71,83
American Bank of the Carolinas,Community Bank,FALSE,NA,"168,276","3,423","4,052","4,492","2,364","2,665","3,028",22,25,24,746,929,"1,003",206,178,186,11,15,9
"American Bank, National Association",Community Bank,FALSE,NA,"508,857","6,492","6,830","7,559","3,811","4,006","4,121",44,46,48,"1,945","2,192","2,677",,,,,,
"American Bank, National Association",Community Bank,FALSE,NA,"372,209","3,643","6,880","8,890","1,943","3,763","5,080",31,36,50,"1,169","2,404","2,904",0,0,0,0,0,0
"American Commerce Bank, National Association",Community Bank,FALSE,NA,"484,526","7,750","8,907","10,381","4,723","5,616","6,493",47,46,54,"2,423","2,587","3,103",0,0,0,0,0,0
"American Commercial Bank & Trust, National Association",Community Bank,FALSE,NA,"1,354,398","23,241","26,370","30,639","16,956","18,936","21,450",136,132,143,"4,379","5,272","6,368",0,0,0,0,0,0
American Community Bank,Community Bank,FALSE,NA,"261,900","6,482","7,173","8,169","3,149","3,340","4,207",35,37,41,"1,687","2,030","2,136",177,232,162,0,0,0
American Community Bank & Trust,Community Bank,FALSE,NA,"916,141","12,774","13,884","15,719","7,471","8,364","9,497",71,73,82,"2,884","3,151","3,795",0,0,0,0,0,0
American Community Bank of Indiana,Community Bank,FALSE,NA,"324,668","7,178","7,752","7,877","4,065","4,421","4,358",44,44,44,"2,483","2,817","2,860",0,0,0,0,0,0
American Continental Bank,Community Bank,FALSE,NA,"339,087","5,825","7,183","7,492","3,621","4,403","4,793",42,45,44,"1,193","1,527","1,402",0,0,0,0,0,0
American Eagle Bank,Community Bank,FALSE,NA,"395,211","6,674","6,698","7,112","3,966","4,104","4,040",28,27,28,"2,160","1,915","2,442",0,0,397,0,0,0
American Exchange Bank,Community Bank,FALSE,NA,"80,649","2,789","3,014","3,162","1,411","1,512","1,599",27,28,29,"1,078","1,131","1,146",0,0,0,0,0,0
American Exchange Bank,Community Bank,FALSE,NA,"72,457","1,380","1,395","1,568",862,808,821,9,9,9,311,386,437,0,0,0,28,60,49
"American Exchange Bank, Lindsay, Oklahoma",Community Bank,FALSE,NA,"86,855","2,077","2,159","2,408","1,316","1,360","1,548",15,15,15,628,644,690,20,12,10,1,2,8
American Federal Bank,Community Bank,FALSE,NA,"711,527","17,781","19,495","20,094","12,555","15,020","14,089",123,117,121,"2,786","2,151","3,381",0,0,0,438,463,603
American Heritage Bank,Community Bank,FALSE,NA,"1,455,553","32,949","32,559","32,546","19,554","19,692","19,013",286,266,269,"8,714","8,076","8,596",0,0,0,0,0,0
American Heritage Bank,Community Bank,FALSE,NA,"122,432","2,423","2,590","2,718","1,315","1,394","1,411",20,19,19,882,997,"1,113",0,0,0,0,0,0
American Heritage National Bank,Community Bank,FALSE,NA,"542,536","8,748","8,900","9,989","5,784","5,762","6,477",61,64,62,"1,659","1,921","2,131",,,,,,
American Interstate Bank,Community Bank,FALSE,NA,"124,929","1,815","1,863","1,888",934,926,956,13,13,13,493,505,535,0,0,0,0,0,0
American Investors Bank and Mortgage,Community Bank,FALSE,NA,"117,575","2,375","2,586","2,717","1,441","1,657","1,709",14,14,14,700,695,785,0,0,0,0,0,0
American Metro Bank,Community Bank,FALSE,NA,"81,652","2,587","2,879","2,856","1,459","1,691","1,558",15,16,15,671,729,826,75,84,102,8,8,16
American Nation Bank,Community Bank,FALSE,NA,"602,346","11,030","11,683","13,663","6,644","7,087","8,020",98,102,106,"2,985","3,111","4,264",0,0,0,80,64,220
American National Bank,Community Bank,FALSE,NA,"469,233","7,044","7,488","7,927","4,351","4,480","4,972",31,32,31,"2,167","2,451","2,376",105,229,39,0,0,0
American National Bank & Trust,Community Bank,FALSE,NA,"1,710,167","31,911","37,121","42,132","21,173","24,392","28,568",211,247,269,"8,309","9,600","10,033",456,352,493,131,39,64
American National Bank of Minnesota,Community Bank,FALSE,NA,"451,321","10,287","11,263","11,593","6,376","7,359","7,412",83,82,73,"2,896","2,943","3,072",273,205,,56,139,
American National Bank-Fox Cities,Community Bank,FALSE,NA,"352,586","5,799","6,108","6,964","3,337","3,588","3,856",34,35,32,"1,990","2,084","2,707",0,0,0,151,0,602
"American Plus Bank, National Association",Community Bank,FALSE,NA,"642,608","7,262","7,491","7,525","4,679","4,942","4,974",45,44,46,"1,809","1,766","1,746",0,0,0,0,0,0
American Pride Bank,Community Bank,FALSE,NA,"250,115","6,300","6,881","7,505","3,870","4,270","4,701",38,38,44,"1,513","1,608","1,724",25,0,0,34,0,0
American Riviera Bank,Community Bank,FALSE,NA,"1,281,124","23,094","25,961","29,893","14,398","16,007","18,200",112,118,129,"5,767","6,903","8,431",47,88,114,183,146,137
American State Bank,Community Bank,FALSE,NA,"1,173,037","15,850","16,367","35,636","8,461","9,542","21,704",116,123,250,"5,792","5,172","11,436","1,195",583,"2,368",58,111,779
American State Bank,Community Bank,FALSE,NA,"296,189","6,406","6,988","7,309","3,719","4,034","4,078",38,42,40,"1,956","2,272","2,533",0,0,0,0,0,0
American State Bank,Community Bank,FALSE,NA,"1,254,978","20,303","21,998","22,220","13,056","13,575","14,114",146,154,156,"4,524","5,811","5,628",0,0,0,186,100,65
American State Bank & Trust Company of Williston,Community Bank,FALSE,NA,"635,919","11,597","11,379","11,826","7,780","7,557","7,728",90,87,81,"3,081","3,145","3,380",0,0,0,0,0,0
American State Bank of Grygla,Community Bank,FALSE,NA,"72,317","1,907","1,987","1,902","1,321","1,295","1,274",16,14,16,363,476,407,0,0,0,0,0,0
American Trust & Savings Bank,Community Bank,FALSE,NA,"33,790",988,979,996,661,616,642,5,6,6,252,283,269,0,0,0,0,0,0
Americana Community Bank,Community Bank,FALSE,NA,"167,029","3,833","4,302","4,577","2,541","2,558","2,862",27,28,29,848,"1,351","1,300",77,86,69,1,7,8
America's Community Bank,Community Bank,FALSE,NA,"40,645",999,"1,018",990,516,575,580,8,8,8,399,333,265,0,2,0,0,0,0
AmeriFirst Bank,Community Bank,FALSE,NA,"304,317","6,157","8,682","9,106","3,810","5,055","5,193",61,53,54,"1,809","2,605","2,852",,,,20,17,32
AmeriServ Financial Bank,Community Bank,FALSE,NA,"1,348,060","35,087","36,409","37,017","20,647","21,129","21,802",233,235,247,"10,734","11,404","11,007",189,224,119,157,100,149
AmeriState Bank,Community Bank,FALSE,NA,"361,482","10,153","13,208","13,787","5,637","7,453","7,763",73,96,98,"3,493","4,337","4,533",0,0,0,203,258,269
AMG National Trust Bank,Community Bank,FALSE,NA,"753,484","29,440","31,389","33,456","22,441","24,126","25,058",137,132,137,"5,194","5,411","5,841",643,561,519,0,0,0
Amistad Bank,Community Bank,FALSE,NA,"52,313","1,505","1,737","1,757",667,835,847,11,13,12,647,710,722,74,63,0,1,2,0
Amory Federal Savings and Loan Association,Community Bank,FALSE,NA,"71,883","1,397","1,463","1,555",792,738,782,7,8,10,431,571,609,0,30,48,0,4,0
Anahuac National Bank,Community Bank,FALSE,NA,"311,968","5,822","6,156","6,288","2,823","2,963","3,025",35,35,34,"1,965","2,159","2,205",0,0,0,0,0,0
Anchor Bank,Community Bank,FALSE,NA,"300,187","5,508","7,677","7,777","2,203","2,954","3,945",27,35,42,"2,215","3,636","2,654",396,0,369,319,0,0
Anchor D Bank,Community Bank,FALSE,NA,"317,746","5,933","6,668","7,421","3,563","4,113","4,216",52,51,54,"1,873","2,057","2,398",0,0,0,0,0,0
Anchor State Bank,Community Bank,FALSE,NA,"36,564",625,"1,066","1,019",387,528,584,4,6,6,203,505,388,0,0,0,11,174,58
Anchorage Digital Bank National Association,Community Bank,FALSE,NA,"25,310",NA,"12,595","26,757",NA,"4,639","13,635",NA,33,69,NA,"7,866","13,081",,"4,314","5,049",,570,"1,560"
Anderson Brothers Bank,Community Bank,TRUE,"$129,800 ","1,554,014","47,862","56,169","63,735","24,628","27,536","31,143",327,354,391,"17,385","22,026","24,989",787,909,"1,055",192,411,463
Anderson State Bank,Community Bank,FALSE,NA,"102,499","1,410","1,346","1,453",777,801,842,8,8,9,498,392,448,0,0,0,0,0,0
Andes State Bank,Community Bank,FALSE,NA,"26,061",592,614,566,338,345,300,6,6,4,217,229,235,0,0,0,0,0,0
Andover State Bank,Community Bank,FALSE,NA,"172,548","3,657","4,711","4,952","1,964","2,611","2,799",19,22,25,"1,172","1,463","1,521",41,49,83,110,127,7
Andrew Johnson Bank,Community Bank,FALSE,NA,"510,700","12,132","12,605","12,830","6,979","7,245","7,543",97,96,95,"3,352","3,593","3,637",82,154,83,9,12,49
Androscoggin Savings Bank,Community Bank,FALSE,NA,"1,450,036","31,953","33,588","35,870","22,461","23,178","25,269",182,198,208,"6,178","7,216","7,458","1,165","1,230","1,071",0,0,0
"Angelina Savings Bank, SSB",Community Bank,FALSE,NA,"76,685","2,640","2,730","2,847","1,425","1,378","1,386",24,20,21,993,"1,123","1,226",0,0,0,0,0,0
Anna State Bank,Community Bank,FALSE,NA,"108,233","1,667","1,707","1,740",824,877,870,17,18,17,642,630,631,0,5,0,1,1,9
Anna-Jonesboro National Bank,Community Bank,FALSE,NA,"261,556","5,798","5,321","5,086","2,695","2,610","2,380",47,41,37,"2,767","2,267","2,361",0,0,0,0,0,0
Anstaff Bank,Community Bank,FALSE,NA,"967,352","18,789","20,254","21,035","11,541","12,144","12,404",154,159,164,"5,065","5,889","6,314",0,0,0,0,0,0
Anthem Bank & Trust,Community Bank,FALSE,NA,"171,864","6,057","6,187","6,908","3,191","3,310","3,926",37,37,36,"2,160","2,222","2,407",138,139,110,59,79,86
"ANZ Guam, Inc.",Community Bank,FALSE,NA,"150,100","12,687","11,544","15,870","5,801","5,751","5,551",111,102,72,"5,485","4,601","9,011",0,0,0,0,0,0
Apex Bank,Community Bank,FALSE,NA,"1,141,229","20,963","21,913","22,447","10,535","12,503","13,885",122,144,208,"8,226","7,357","6,486",0,0,0,0,0,0
Apex Banking Company of Georgia,Community Bank,FALSE,NA,"51,477","1,604","1,639","2,119",773,756,"1,064",10,11,15,740,777,956,0,0,0,0,0,0
Apollo Trust Company,Community Bank,FALSE,NA,"183,498","5,229","5,334","5,762","3,032","3,053","3,250",45,42,41,"1,143","1,215","1,431",0,0,138,0,0,0
Apple River State Bank,Community Bank,FALSE,NA,"518,302","8,461","9,307","9,777","5,139","5,540","5,674",58,64,65,"2,770","3,102","3,462",14,12,12,37,9,1
Applied Bank,Community Bank,FALSE,NA,"234,875","7,150","6,924","6,132","2,570","2,290","2,302",29,26,28,"4,059","4,070","3,267",0,0,0,0,0,0
Arbor Bank,Community Bank,FALSE,NA,"531,826","17,886","19,212","17,008","12,102","13,465","11,370",116,127,120,"4,398","4,302","4,428",465,0,0,0,0,0
Arcadian Bank,Community Bank,FALSE,NA,"207,784","4,610","5,133","5,042","3,185","3,531","3,365",29,31,32,"1,153","1,333","1,424",0,0,0,0,0,0
Arcola First Bank,Community Bank,FALSE,NA,"122,305","2,269","2,343","2,354","1,247","1,286","1,240",16,16,17,765,829,870,0,0,0,0,0,0
Argentine Federal Savings,Community Bank,FALSE,NA,"60,589","1,470","1,506","1,490",831,840,839,11,11,12,447,438,430,0,0,0,0,0,0
Arlington State Bank,Community Bank,FALSE,NA,"62,711","1,211","1,300","1,278",783,878,798,12,13,12,265,241,299,0,0,0,0,0,0
"Armed Forces Bank, National Association",Community Bank,FALSE,NA,"1,208,483","57,990","58,920","65,537","25,232","24,063","29,378",307,317,307,"24,245","26,297","28,720",0,0,0,0,0,0
Armor Bank,Community Bank,FALSE,NA,"398,578","4,780","7,483","10,321","2,279","3,920","5,478",41,53,63,"1,606","2,398","3,319",0,0,0,0,0,0
Armstrong County Building and Loan Association,Community Bank,FALSE,NA,"93,342",968,962,997,454,440,492,6,6,6,447,466,450,27,28,28,1,4,3
Aroostook County Federal Savings & Loan Association,Community Bank,FALSE,NA,"185,569","3,068","3,128","3,320","1,911","1,927","2,005",24,23,23,970,"1,003","1,113",0,0,0,0,0,0
Arrowhead Bank,Community Bank,FALSE,NA,"306,277","5,249","5,614","6,402","2,932","3,112","3,556",44,45,51,"1,730","1,937","2,198",0,0,0,0,141,144
Arthur State Bank,Community Bank,FALSE,NA,"737,722","18,102","19,261","20,720","10,737","10,941","11,933",153,156,147,"4,390","4,776","4,869",256,446,381,0,0,0
Artisans' Bank,Community Bank,FALSE,NA,"662,318","16,771","16,743","17,443","9,901","9,649","10,107",118,117,126,"4,776","4,948","5,059",0,0,0,0,0,0
Arundel Federal Savings Bank,Community Bank,FALSE,NA,"429,911","8,947","9,126","9,349","5,586","5,475","5,781",72,69,64,"2,333","2,630","2,652",159,182,0,0,0,0
Ascendia Bank,Community Bank,FALSE,NA,"338,458","5,847","5,862","7,021","3,190","2,922","3,224",31,32,33,"1,793","2,102","2,604",0,0,0,0,0,0
Ascent Bank,Community Bank,FALSE,NA,"87,471","2,064","2,467","2,680","1,151","1,394","1,645",16,19,18,619,768,717,0,0,0,0,0,0
Ashton State Bank,Community Bank,FALSE,NA,"54,979",923,925,952,599,599,636,7,7,7,271,275,265,0,0,0,7,5,6
Asian Bank,Community Bank,FALSE,NA,"451,784","4,829","5,312","6,080","1,934","2,187","2,847",31,31,36,"2,254","2,463","2,523",0,157,93,0,0,0
Asian Pacific National Bank,Community Bank,FALSE,NA,"57,366","1,425","1,408","1,400",922,884,844,13,11,11,320,329,362,0,0,0,0,0,0
Aspire Bank,Community Bank,FALSE,NA,"53,976","1,141","2,108","1,547",555,682,788,8,6,7,385,"1,192",490,0,0,0,0,0,0
"Associated Trust Company, National Association",Community Bank,FALSE,NA,"74,965","63,895","57,958","61,580","40,940","37,303","41,315",280,253,265,"19,378","17,814","17,784",,,,,,
Astra Bank,Community Bank,FALSE,NA,"453,701","9,752","10,602","11,315","5,434","6,022","6,545",67,71,72,"2,948","3,202","3,462",0,0,0,86,87,30
Atascosa Bank,Community Bank,FALSE,NA,"95,957","1,370","1,384","1,419",764,747,735,13,13,11,444,482,529,0,0,0,0,0,0
Athol Savings Bank,Community Bank,FALSE,NA,"582,843","13,196","13,795","14,906","7,020","7,435","8,041",78,81,79,"4,471","4,666","5,016",490,479,540,0,0,0
Atkins Savings Bank & Trust,Community Bank,FALSE,NA,"137,585","1,435","1,682","1,991",839,981,"1,070",8,8,8,446,600,594,0,0,0,16,18,13
