bank_name,asset_category,enforcement_action,cmp,2022_totalassets,2020_totalnie,2021_totalnie,2022_totalnie,2020_personnelcosts,2021_personnelcosts,2022_personnelcosts,2020_fte,2021_fte,2022_fte,2020_othernie,2021_othernie,2022_othernie,2020_consult,2021_consult,2022_consult,2020_legal,2021_legal,2022_legal
First Bank & Trust,Super Community Bank,FALSE,NA,"2,961,239","49,663","82,479","72,484","20,171","28,701","21,077",313,279,211,"22,995","44,264","43,870",0,,,0,,
First Bank Chicago,Super Community Bank,FALSE,NA,"2,054,334","30,959","31,737","33,989","21,274","22,920","24,644",140,139,146,"7,042","6,110","6,493",0,0,0,0,0,0
First Business Bank,Super Community Bank,FALSE,NA,"2,978,956","65,157","68,022","78,319","31,069","46,733","51,946",196,304,327,"32,121","18,336","23,179","21,247","3,694","7,554",0,0,0
First Carolina Bank,Super Community Bank,FALSE,NA,"2,112,345","12,672","17,648","27,017","8,065","11,196","17,371",65,85,111,"3,474","4,503","6,642",270,,,,,
First Citizens Community Bank,Super Community Bank,FALSE,NA,"2,329,851","40,613","41,193","44,267","25,315","25,902","27,837",295,293,312,"11,738","11,613","12,571","1,541",0,0,0,0,0
First Citizens National Bank,Super Community Bank,FALSE,NA,"2,399,631","47,941","51,133","51,892","28,239","29,946","29,620",301,301,315,"14,040","15,369","16,274",0,0,0,0,0,0
First Commonwealth Bank,Super Community Bank,FALSE,NA,"9,776,999","210,818","211,027","225,878","123,093","120,162","126,742","1,398","1,426","1,424","49,666","54,876","62,393",,,,907,507,915
First Community Bank,Super Community Bank,FALSE,NA,"3,112,618","80,648","80,482","84,408","44,371","43,990","46,559",614,607,608,"24,195","24,506","25,584",447,408,598,704,919,691
First Community Bank,Super Community Bank,FALSE,NA,"2,427,913","48,909","55,826","63,325","30,220","35,149","38,897",415,458,514,"12,686","14,800","17,890",0,0,0,0,0,0
First County Bank,Super Community Bank,FALSE,NA,"2,076,907","44,140","47,760","48,286","27,668","29,868","31,481",221,212,217,"9,407","10,910","10,147",,820,748,,,
First Dakota National Bank,Super Community Bank,FALSE,NA,"2,727,087","63,706","68,390","73,085","45,352","47,424","49,028",353,355,346,"13,478","15,787","19,156",0,0,0,0,0,0
First Farmers Bank & Trust Co.,Super Community Bank,FALSE,NA,"2,738,488","49,336","51,078","51,503","29,077","29,934","30,778",360,363,363,"13,074","13,503","12,716",922,,"1,188",,,
First Fed Bank,Super Community Bank,FALSE,NA,"2,019,046","40,386","51,887","56,851","24,003","32,184","33,833",230,289,285,"10,704","15,442","17,915",0,0,0,0,0,0
First Federal Bank,Super Community Bank,FALSE,NA,"3,765,448","136,881","125,339","113,332","82,775","81,507","69,447",879,773,699,"42,253","31,157","30,591",842,868,"1,216","6,492",487,"3,638"
First Federal Savings and Loan Association of Lakewood,Super Community Bank,FALSE,NA,"2,548,129","47,835","50,630","56,294","24,223","26,792","33,094",399,410,418,"17,481","17,801","17,532","1,024",819,696,201,165,130
First Fidelity Bank,Super Community Bank,FALSE,NA,"2,734,502","50,058","53,079","57,523","31,460","32,428","34,707",341,323,342,"9,478","10,630","12,619",,,,,,990
"First Financial Bank, National Association",Super Community Bank,FALSE,NA,"4,973,142","109,282","114,749","126,031","60,597","62,966","65,532",917,883,900,"28,017","30,954","36,597",0,,,"1,444","1,952","1,371"
First Guaranty Bank,Super Community Bank,FALSE,NA,"3,149,346","55,372","61,747","68,855","29,408","31,892","36,256",429,470,472,"17,594","20,458","23,024",551,552,906,825,"1,332","1,400"
First International Bank and Trust,Super Community Bank,FALSE,NA,"4,910,204","131,901","146,445","158,201","70,860","83,898","88,662",652,736,699,"37,453","36,700","43,191",0,0,0,0,0,"5,845"
First Internet Bank of Indiana,Super Community Bank,FALSE,NA,"4,534,480","54,074","57,651","69,978","32,974","36,626","39,591",256,284,317,"19,143","18,760","24,617",0,"1,395","2,430",0,0,0
"First Mid Bank & Trust, National Association",Super Community Bank,FALSE,NA,"6,704,869","85,721","127,903","139,475","44,564","66,497","74,134",661,782,895,"23,012","36,950","36,408","2,803","4,126","4,419",,,
First National Bank,Super Community Bank,FALSE,NA,"2,396,440","40,906","47,381","54,986","20,500","23,417","28,132",266,340,312,"13,119","16,407","17,743",0,0,0,554,"2,193",87
First National Bank,Super Community Bank,FALSE,NA,"2,704,047","38,913","41,091","42,738","20,388","21,123","23,295",250,267,273,"11,217","12,564","11,569",,,,,,
First National Bank Alaska,Super Community Bank,FALSE,NA,"5,337,737","91,415","92,293","92,933","63,306","63,207","60,741",638,601,600,"17,988","19,765","22,522",0,0,0,0,0,0
First National Bank of America,Super Community Bank,FALSE,NA,"4,554,611","46,152","52,048","58,542","29,682","32,616","34,724",334,335,349,"13,877","17,584","21,298",,,,,,
First National Bank Texas,Super Community Bank,FALSE,NA,"3,944,563","332,847","366,621","352,929","157,307","165,517","164,578","2,927","2,951","2,904","135,803","159,806","144,626",0,0,0,0,0,0
First Premier Bank,Super Community Bank,FALSE,NA,"2,748,882","71,799","80,987","80,335","45,662","47,650","47,102",371,370,379,"22,447","26,082","25,745",,,,,"1,900",
First Savings Bank,Super Community Bank,FALSE,NA,"2,147,625","146,455","120,177","85,265","108,705","86,126","54,127",647,551,412,"30,124","26,498","25,081","2,972","3,972","5,058",0,,
First Security Bank,Super Community Bank,FALSE,NA,"7,517,872","99,203","104,032","110,530","58,925","59,401","61,627",838,831,849,"26,727","31,019","34,842",339,351,911,"1,503","1,163","1,027"
First State Community Bank,Super Community Bank,FALSE,NA,"3,866,130","84,351","90,204","89,990","47,683","51,169","50,494",721,716,703,"24,455","27,004","28,281",0,0,0,0,0,0
First United Bank,Super Community Bank,FALSE,NA,"2,146,467","35,311","38,574","41,996","21,076","22,215","23,853",219,241,246,"8,540","10,442","11,504",0,0,0,0,0,0
First Western Bank and Trust,Super Community Bank,FALSE,NA,"2,022,880","50,302","53,720","53,825","33,682","35,327","34,265",328,344,337,"11,253","13,021","14,084",,,,,,
First Western Trust Bank,Super Community Bank,FALSE,NA,"2,863,212","71,717","82,274","84,810","48,672","54,905","53,323",305,352,365,"17,143","21,364","23,940",0,0,0,0,0,0
"FirstCapital Bank of Texas, N.A.",Super Community Bank,FALSE,NA,"2,160,944","46,398","53,076","48,063","26,238","26,355","26,777",271,252,244,"12,183","19,175","14,048",692,742,"1,055","1,384","7,332","1,291"
Firstrust Savings Bank,Super Community Bank,FALSE,NA,"5,175,676","106,021","113,528","114,847","64,805","66,706","67,751",539,527,564,"32,581","37,663","38,302",,,,,,
Five Points Bank,Super Community Bank,FALSE,NA,"2,018,808","26,190","27,196","30,094","15,531","16,448","17,388",157,163,162,"8,077","8,043","9,931",225,293,334,147,65,85
Five Star Bank,Super Community Bank,FALSE,NA,"5,756,441","95,676","95,488","113,324","50,574","50,398","59,517",556,562,609,"32,207","31,543","39,142","3,431","3,266",,,,
Five Star Bank,Super Community Bank,FALSE,NA,"3,224,069","27,233","32,484","37,834","15,437","19,155","21,564",141,157,181,"10,081","11,391","14,211",829,"1,014",,,,
Flushing Bank,Super Community Bank,FALSE,NA,"8,421,743","133,262","143,433","141,364","74,565","89,130","84,953",520,531,569,"41,211","34,361","36,694","3,170","2,439","4,164",654,770,720
Forbright Bank,Super Community Bank,FALSE,NA,"6,533,565","59,611","85,863","158,532","38,937","56,351","84,584",210,270,373,"15,513","24,268","67,648","1,104","2,946","5,057","1,674","3,081","9,553"
Frandsen Bank & Trust,Super Community Bank,FALSE,NA,"3,163,444","67,908","70,214","78,235","42,007","42,879","46,827",413,401,445,"19,552","20,401","23,476",562,589,465,114,66,319
Fremont Bank,Super Community Bank,FALSE,NA,"5,446,634","183,111","195,086","177,759","114,834","120,031","103,344","1,022",934,749,"51,922","57,194","55,765","6,973","7,105","6,633",0,0,0
FVCbank,Super Community Bank,FALSE,NA,"2,338,603","29,474","33,102","32,617","16,116","17,959","19,125",124,123,133,"9,767","11,632","9,933",0,0,0,794,"1,231",0
Gate City Bank,Super Community Bank,FALSE,NA,"3,392,287","112,809","115,556","121,914","53,267","54,582","56,563",640,675,704,"46,635","47,700","51,527","4,605","4,509",,,,
Gateway First Bank,Super Community Bank,FALSE,NA,"2,037,606","209,302","204,880","176,494","139,505","146,240","120,300","1,584","1,629","1,070","57,135","44,648","41,439","8,650",,,,,
German American Bank,Super Community Bank,FALSE,NA,"6,150,272","116,295","122,505","150,424","67,613","68,032","83,611",776,724,854,"31,126","36,920","48,190","2,331",0,0,0,0,0
Glens Falls National Bank and Trust Company,Super Community Bank,FALSE,NA,"3,125,180","61,766","68,414","71,008","38,089","40,644","42,622",459,461,454,"14,147","17,736","18,435",,,,,,
Great Southern Bank,Super Community Bank,FALSE,NA,"5,684,000","120,195","125,586","130,943","69,408","68,503","73,145","1,063","1,017","1,032","30,119","36,779","37,844",0,"5,165","4,758",0,429,0
Green Dot Bank,Super Community Bank,FALSE,NA,"3,959,561","16,235","14,211","20,655","6,747","5,929","12,408",22,65,81,"9,161","8,151","8,120",0,0,0,0,0,0
Guaranty Bank,Super Community Bank,FALSE,NA,"2,148,808","15,076","15,997","33,729","9,064","10,145","18,973",58,66,204,"3,329","3,304","9,132",0,0,0,0,0,0
"Guaranty Bank & Trust, N.A.",Super Community Bank,FALSE,NA,"3,350,152","64,521","70,759","77,933","36,765","41,740","46,896",467,472,494,"16,683","17,388","19,454",,"1,273","1,368",,,
Gulf Coast Bank and Trust Company,Super Community Bank,FALSE,NA,"3,069,873","133,101","148,581","169,612","94,646","105,055","112,104",658,718,825,"28,343","33,464","44,256","2,792",,"4,613",,,
Habib American Bank,Super Community Bank,FALSE,NA,"2,187,455","32,995","37,152","35,120","20,523","21,613","22,177",150,156,162,"6,513","8,978","6,136",,,,365,470,240
Hanmi Bank,Super Community Bank,FALSE,NA,"7,348,419","116,506","120,818","125,773","64,446","70,124","73,545",600,590,624,"33,516","31,403","34,409","2,589",0,0,0,0,0
HarborOne Bank,Super Community Bank,FALSE,NA,"5,362,221","164,575","159,234","138,962","106,885","102,599","84,334",633,620,609,"41,020","39,556","37,480",,"3,072","3,159",,,
Heartland Bank and Trust Company,Super Community Bank,FALSE,NA,"4,272,278","89,437","87,505","94,215","57,950","55,007","57,274",747,728,711,"21,228","21,980","25,919",0,0,0,0,0,"3,448"
Heritage Bank,Super Community Bank,FALSE,NA,"6,977,262","144,575","144,777","146,370","83,726","85,391","88,296",852,767,813,"35,077","39,527","38,586","2,591",,,,,
Heritage Bank of Commerce,Super Community Bank,FALSE,NA,"5,152,676","86,274","89,270","91,174","49,587","50,220","53,785",331,325,331,"25,000","27,216","25,291",,,,"2,597","3,313","2,741"
Hills Bank and Trust Company,Super Community Bank,FALSE,NA,"3,979,185","75,966","81,811","75,385","39,798","41,624","42,565",506,498,503,"24,640","28,955","21,467","1,952","2,202","2,581",0,0,0
Hingham Institution for Savings,Super Community Bank,FALSE,NA,"4,193,934","21,978","22,057","26,592","13,155","13,988","15,831",87,75,89,"6,915","6,571","9,317",,,,,,
"Hinsdale Bank & Trust Company, National Association",Super Community Bank,FALSE,NA,"4,550,164","71,174","63,914","64,293","29,296","30,299","32,535",215,210,213,"35,285","26,242","25,898",,,,,,
"Home Bank, National Association",Super Community Bank,FALSE,NA,"3,221,051","62,635","66,766","81,571","37,350","38,492","46,842",453,442,480,"14,899","17,300","20,917",242,462,804,71,182,242
Home Federal Bank of Tennessee,Super Community Bank,FALSE,NA,"2,812,950","48,506","50,468","53,021","30,630","32,215","32,994",393,380,369,"10,392","9,907","10,911",868,938,981,0,0,0
HomeStreet Bank,Super Community Bank,FALSE,NA,"9,335,429","229,450","212,000","200,945","133,003","130,570","114,290","1,008",966,913,"60,668","57,351","60,900",,,,,,
HomeTrust Bank,Super Community Bank,FALSE,NA,"3,646,842","101,464","130,433","105,145","58,952","61,702","58,315",587,511,510,"31,649","57,753","35,951",928,838,660,497,401,280
Horizon Bank,Super Community Bank,FALSE,NA,"7,794,340","130,532","138,709","148,499","69,085","72,161","77,732",822,900,900,"44,857","50,195","52,820",,,,,,
